State,County,Lithium mcg/L,Primary water use
ALABAMA,BALDWIN,3.5,PUBLIC SUPPLY
ALABAMA,BALDWIN,1.0,IRRIGATION
ALABAMA,BALDWIN,1.0,DOMESTIC
ALABAMA,BALDWIN,1.0,INDUSTRIAL
ALABAMA,BALDWIN,0.8,DOMESTIC
ALABAMA,BALDWIN,0.6,RECREATION
ALABAMA,ESCAMBIA,0.8,PUBLIC SUPPLY
ALABAMA,HOUSTON,1.0,UNUSED
ALABAMA,HOUSTON,0.5,DOMESTIC
ALABAMA,HOUSTON,0.3,UNUSED
ALABAMA,HOUSTON,0.2,UNUSED
ARIZONA,MARICOPA,380.0,DOMESTIC
ARIZONA,MARICOPA,173.2,DOMESTIC
ARIZONA,MARICOPA,160.6,STOCK
ARIZONA,MARICOPA,152.5,DOMESTIC
ARIZONA,MARICOPA,150.3,IRRIGATION
ARIZONA,MARICOPA,122.8,INDUSTRIAL
ARIZONA,MARICOPA,114.2,IRRIGATION
ARIZONA,MARICOPA,109.3,DOMESTIC
ARIZONA,MARICOPA,94.7,STOCK
ARIZONA,MARICOPA,79.4,STOCK
ARIZONA,MARICOPA,71.2,DOMESTIC
ARIZONA,MARICOPA,69.6,DOMESTIC
ARIZONA,MARICOPA,58.9,DOMESTIC
ARIZONA,MARICOPA,57.1,IRRIGATION
ARIZONA,MARICOPA,54.9,IRRIGATION
ARIZONA,MARICOPA,54.0,IRRIGATION
ARIZONA,MARICOPA,47.7,DOMESTIC
ARIZONA,MARICOPA,45.8,INDUSTRIAL
ARIZONA,MARICOPA,45.6,DOMESTIC
ARIZONA,MARICOPA,45.5,STOCK
ARIZONA,MARICOPA,43.9,STOCK
ARIZONA,MARICOPA,38.5,DOMESTIC
ARIZONA,MARICOPA,34.3,UNUSED
ARIZONA,MARICOPA,30.0,PUBLIC SUPPLY
ARIZONA,MARICOPA,26.6,DOMESTIC
ARIZONA,MARICOPA,24.3,IRRIGATION
ARIZONA,MARICOPA,21.2,STOCK
ARIZONA,MARICOPA,20.4,DOMESTIC
ARIZONA,MARICOPA,19.6,DOMESTIC
ARIZONA,MARICOPA,18.7,DEWATER
ARIZONA,MARICOPA,16.4,PUBLIC SUPPLY
ARIZONA,MARICOPA,12.3,DOMESTIC
ARIZONA,MARICOPA,11.7,DOMESTIC
ARIZONA,MARICOPA,10.9,PUBLIC SUPPLY
ARIZONA,MARICOPA,2.0,DOMESTIC
CALIFORNIA,BUTTE,19.8,DOMESTIC
CALIFORNIA,BUTTE,2.3,DOMESTIC
CALIFORNIA,BUTTE,1.0,DOMESTIC
CALIFORNIA,BUTTE,0.8,UNUSED
CALIFORNIA,BUTTE,0.7,UNUSED
CALIFORNIA,BUTTE,0.7,UNUSED
CALIFORNIA,BUTTE,0.4,UNUSED
CALIFORNIA,COLUSA,101.6,UNUSED
CALIFORNIA,COLUSA,31.2,UNUSED
CALIFORNIA,COLUSA,26.1,UNUSED
CALIFORNIA,COLUSA,19.7,UNUSED
CALIFORNIA,COLUSA,9.0,PUBLIC SUPPLY
CALIFORNIA,DEL NORTE,2.4,INSTITUTIONAL
CALIFORNIA,DEL NORTE,1.2,STOCK
CALIFORNIA,DEL NORTE,1.0,PUBLIC SUPPLY
CALIFORNIA,DEL NORTE,1.0,PUBLIC SUPPLY
CALIFORNIA,DEL NORTE,1.0,IRRIGATION
CALIFORNIA,DEL NORTE,1.0,PUBLIC SUPPLY
CALIFORNIA,FRESNO,38.0,DOMESTIC
CALIFORNIA,FRESNO,25.0,DOMESTIC
CALIFORNIA,FRESNO,23.8,DOMESTIC
CALIFORNIA,FRESNO,18.8,DOMESTIC
CALIFORNIA,FRESNO,13.7,DOMESTIC
CALIFORNIA,FRESNO,13.3,DOMESTIC
CALIFORNIA,FRESNO,8.1,DOMESTIC
CALIFORNIA,FRESNO,8.1,DOMESTIC
CALIFORNIA,FRESNO,6.5,DOMESTIC
CALIFORNIA,FRESNO,6.0,UNUSED
CALIFORNIA,FRESNO,5.1,DOMESTIC
CALIFORNIA,FRESNO,5.1,DOMESTIC
CALIFORNIA,FRESNO,4.4,UNUSED
CALIFORNIA,FRESNO,3.4,DOMESTIC
CALIFORNIA,FRESNO,3.0,UNUSED
CALIFORNIA,FRESNO,2.7,DOMESTIC
CALIFORNIA,FRESNO,2.7,DOMESTIC
CALIFORNIA,FRESNO,2.7,DOMESTIC
CALIFORNIA,FRESNO,2.7,DOMESTIC
CALIFORNIA,FRESNO,2.5,DOMESTIC
CALIFORNIA,FRESNO,2.0,DOMESTIC
CALIFORNIA,FRESNO,1.9,UNUSED
CALIFORNIA,FRESNO,1.7,DOMESTIC
CALIFORNIA,FRESNO,1.6,DOMESTIC
CALIFORNIA,FRESNO,1.4,UNUSED
CALIFORNIA,FRESNO,0.8,DOMESTIC
CALIFORNIA,FRESNO,0.7,DOMESTIC
CALIFORNIA,FRESNO,0.6,UNUSED
CALIFORNIA,FRESNO,0.6,DOMESTIC
CALIFORNIA,FRESNO,0.5,DOMESTIC
CALIFORNIA,GLENN,23.3,UNUSED
CALIFORNIA,GLENN,19.9,UNUSED
CALIFORNIA,GLENN,18.9,UNUSED
CALIFORNIA,GLENN,18.3,UNUSED
CALIFORNIA,GLENN,14.3,UNUSED
CALIFORNIA,GLENN,11.5,UNUSED
CALIFORNIA,GLENN,2.5,UNUSED
CALIFORNIA,GLENN,1.0,UNUSED
CALIFORNIA,GLENN,0.8,UNUSED
CALIFORNIA,GLENN,0.6,UNUSED
CALIFORNIA,HUMBOLDT,9.2,DOMESTIC
CALIFORNIA,HUMBOLDT,9.1,INDUSTRIAL
CALIFORNIA,HUMBOLDT,8.3,PUBLIC SUPPLY
CALIFORNIA,HUMBOLDT,7.2,PUBLIC SUPPLY
CALIFORNIA,HUMBOLDT,7.1,IRRIGATION
CALIFORNIA,HUMBOLDT,5.2,DOMESTIC
CALIFORNIA,HUMBOLDT,4.6,PUBLIC SUPPLY
CALIFORNIA,HUMBOLDT,4.1,DOMESTIC
CALIFORNIA,HUMBOLDT,3.7,PUBLIC SUPPLY
CALIFORNIA,HUMBOLDT,3.3,DOMESTIC
CALIFORNIA,HUMBOLDT,3.2,PUBLIC SUPPLY
CALIFORNIA,HUMBOLDT,3.2,PUBLIC SUPPLY
CALIFORNIA,HUMBOLDT,2.9,INDUSTRIAL
CALIFORNIA,HUMBOLDT,2.5,PUBLIC SUPPLY
CALIFORNIA,HUMBOLDT,1.6,PUBLIC SUPPLY
CALIFORNIA,HUMBOLDT,1.5,PUBLIC SUPPLY
CALIFORNIA,HUMBOLDT,1.2,IRRIGATION
CALIFORNIA,HUMBOLDT,0.8,PUBLIC SUPPLY
CALIFORNIA,HUMBOLDT,0.4,PUBLIC SUPPLY
CALIFORNIA,KERN,14.8,DOMESTIC
CALIFORNIA,KERN,11.5,DOMESTIC
CALIFORNIA,KERN,10.1,DOMESTIC
CALIFORNIA,KERN,6.2,DOMESTIC
CALIFORNIA,KERN,4.4,DOMESTIC
CALIFORNIA,KERN,1.2,DOMESTIC
CALIFORNIA,KINGS,14.8,DOMESTIC
CALIFORNIA,KINGS,3.8,DOMESTIC
CALIFORNIA,KINGS,3.1,DOMESTIC
CALIFORNIA,KINGS,1.5,DOMESTIC
CALIFORNIA,KINGS,0.3,DOMESTIC
CALIFORNIA,LAKE,131.5,PUBLIC SUPPLY
CALIFORNIA,LAKE,87.3,DOMESTIC
CALIFORNIA,LAKE,19.0,PUBLIC SUPPLY
CALIFORNIA,LAKE,5.3,IRRIGATION
CALIFORNIA,LAKE,4.2,DOMESTIC
CALIFORNIA,LAKE,3.9,PUBLIC SUPPLY
CALIFORNIA,LAKE,3.3,IRRIGATION
CALIFORNIA,LAKE,1.7,PUBLIC SUPPLY
CALIFORNIA,LAKE,1.5,PUBLIC SUPPLY
CALIFORNIA,LOS ANGELES,0.5,PUBLIC SUPPLY
CALIFORNIA,LOS ANGELES,0.5,PUBLIC SUPPLY
CALIFORNIA,LOS ANGELES,0.4,PUBLIC SUPPLY
CALIFORNIA,MADERA,15.3,DOMESTIC
CALIFORNIA,MADERA,12.2,DOMESTIC
CALIFORNIA,MADERA,9.7,DOMESTIC
CALIFORNIA,MADERA,7.3,DOMESTIC
