State,County,Lithium mcg/L,Primary water use,county_fips
ALABAMA,BALDWIN,3.5,PUBLIC SUPPLY,01003
ALABAMA,BALDWIN,1,IRRIGATION,01003
ALABAMA,BALDWIN,1,DOMESTIC,01003
ALABAMA,BALDWIN,1,INDUSTRIAL,01003
ALABAMA,BALDWIN,0.8,DOMESTIC,01003
ALABAMA,BALDWIN,0.6,RECREATION,01003
ALABAMA,ESCAMBIA,0.8,PUBLIC SUPPLY,01053
ALABAMA,HOUSTON,1,UNUSED,01069
ALABAMA,HOUSTON,0.5,DOMESTIC,01069
ALABAMA,HOUSTON,0.3,UNUSED,01069
ALABAMA,HOUSTON,0.2,UNUSED,01069
ARIZONA,MARICOPA,380,DOMESTIC,04013
ARIZONA,MARICOPA,173.2,DOMESTIC,04013
ARIZONA,MARICOPA,160.6,STOCK,04013
ARIZONA,MARICOPA,152.5,DOMESTIC,04013
ARIZONA,MARICOPA,150.3,IRRIGATION,04013
ARIZONA,MARICOPA,122.8,INDUSTRIAL,04013
ARIZONA,MARICOPA,114.2,IRRIGATION,04013
ARIZONA,MARICOPA,109.3,DOMESTIC,04013
ARIZONA,MARICOPA,94.7,STOCK,04013
ARIZONA,MARICOPA,79.4,STOCK,04013
ARIZONA,MARICOPA,71.2,DOMESTIC,04013
ARIZONA,MARICOPA,69.6,DOMESTIC,04013
ARIZONA,MARICOPA,58.9,DOMESTIC,04013
ARIZONA,MARICOPA,57.1,IRRIGATION,04013
ARIZONA,MARICOPA,54.9,IRRIGATION,04013
ARIZONA,MARICOPA,54,IRRIGATION,04013
ARIZONA,MARICOPA,47.7,DOMESTIC,04013
ARIZONA,MARICOPA,45.8,INDUSTRIAL,04013
ARIZONA,MARICOPA,45.6,DOMESTIC,04013
ARIZONA,MARICOPA,45.5,STOCK,04013
ARIZONA,MARICOPA,43.9,STOCK,04013
ARIZONA,MARICOPA,38.5,DOMESTIC,04013
ARIZONA,MARICOPA,34.3,UNUSED,04013
ARIZONA,MARICOPA,30,PUBLIC SUPPLY,04013
ARIZONA,MARICOPA,26.6,DOMESTIC,04013
ARIZONA,MARICOPA,24.3,IRRIGATION,04013
ARIZONA,MARICOPA,21.2,STOCK,04013
ARIZONA,MARICOPA,20.4,DOMESTIC,04013
ARIZONA,MARICOPA,19.6,DOMESTIC,04013
ARIZONA,MARICOPA,18.7,DEWATER,04013
ARIZONA,MARICOPA,16.4,PUBLIC SUPPLY,04013
ARIZONA,MARICOPA,12.3,DOMESTIC,04013
ARIZONA,MARICOPA,11.7,DOMESTIC,04013
ARIZONA,MARICOPA,10.9,PUBLIC SUPPLY,04013
ARIZONA,MARICOPA,2,DOMESTIC,04013
CALIFORNIA,BUTTE,19.8,DOMESTIC,06007
CALIFORNIA,BUTTE,2.3,DOMESTIC,06007
CALIFORNIA,BUTTE,1,DOMESTIC,06007
CALIFORNIA,BUTTE,0.8,UNUSED,06007
CALIFORNIA,BUTTE,0.7,UNUSED,06007
CALIFORNIA,BUTTE,0.7,UNUSED,06007
CALIFORNIA,BUTTE,0.4,UNUSED,06007
CALIFORNIA,COLUSA,101.6,UNUSED,06011
CALIFORNIA,COLUSA,31.2,UNUSED,06011
CALIFORNIA,COLUSA,26.1,UNUSED,06011
CALIFORNIA,COLUSA,19.7,UNUSED,06011
CALIFORNIA,COLUSA,9,PUBLIC SUPPLY,06011
CALIFORNIA,DEL NORTE,2.4,INSTITUTIONAL,06015
CALIFORNIA,DEL NORTE,1.2,STOCK,06015
CALIFORNIA,DEL NORTE,1,PUBLIC SUPPLY,06015
CALIFORNIA,DEL NORTE,1,PUBLIC SUPPLY,06015
CALIFORNIA,DEL NORTE,1,IRRIGATION,06015
CALIFORNIA,DEL NORTE,1,PUBLIC SUPPLY,06015
CALIFORNIA,FRESNO,38,DOMESTIC,06019
CALIFORNIA,FRESNO,25,DOMESTIC,06019
CALIFORNIA,FRESNO,23.8,DOMESTIC,06019
CALIFORNIA,FRESNO,18.8,DOMESTIC,06019
CALIFORNIA,FRESNO,13.7,DOMESTIC,06019
CALIFORNIA,FRESNO,13.3,DOMESTIC,06019
CALIFORNIA,FRESNO,8.1,DOMESTIC,06019
CALIFORNIA,FRESNO,8.1,DOMESTIC,06019
CALIFORNIA,FRESNO,6.5,DOMESTIC,06019
CALIFORNIA,FRESNO,6,UNUSED,06019
CALIFORNIA,FRESNO,5.1,DOMESTIC,06019
CALIFORNIA,FRESNO,5.1,DOMESTIC,06019
CALIFORNIA,FRESNO,4.4,UNUSED,06019
CALIFORNIA,FRESNO,3.4,DOMESTIC,06019
CALIFORNIA,FRESNO,3,UNUSED,06019
CALIFORNIA,FRESNO,2.7,DOMESTIC,06019
CALIFORNIA,FRESNO,2.7,DOMESTIC,06019
CALIFORNIA,FRESNO,2.7,DOMESTIC,06019
CALIFORNIA,FRESNO,2.7,DOMESTIC,06019
CALIFORNIA,FRESNO,2.5,DOMESTIC,06019
